Ingredient,Type,Purpose,Skin Type
"Ceramide 1, 2, 3, 4, 6 II",Lipid,"Restores barrier, locks in moisture","dry,sensitive skin"
Lactic Acid,AHA,"Exfoliates, brightens skin","dry,sensitive skin"
Glycolic Acid,AHA,"Exfoliates, smoothens skin","dry,sensitive skin"
Vaccinium Myrtillus (Blueberry) Fruit Extract,Antioxidant,Protects against environmental damage,all skin types
Saccharum Officinarum (Sugarcane) Extract,AHA,"Exfoliates, brightens skin","dry,sensitive skin"
Citrus Aurantium Dulcis (Orange) Fruit Extract,Vitamin C,"Brightens, antioxidant","all skin types,sensitive"
Citrus Limon (Lemon) Fruit Extract,"Vitamin C, AHA","Brightens, exfoliates","dry,sensitive skin"
Acer Saccharum (Sugar Maple) Extract,AHA,"Exfoliates, brightens skin","dry,sensitive skin"
Tartaric Acid,AHA,"Exfoliates, brightens skin","dry,sensitive skin"
Malic Acid,AHA,"Exfoliates, smoothens skin","dry,sensitive skin"
Aloe Barbadensis Leaf Juice,Botanical Extract,"Soothes, moisturizes, heals skin","all skin types,sensitive"
Ammonium Acryloyldimethyltaurate/VP Copolymer,Film Former,"Stabilizes formulation, smooth texture",all skin types
Argania Spinosa (Argan) Oil,Oil,"Moisturizes, nourishes skin, anti-aging","dry,sensitive,mature"
Betaine,Humectant,"Moisturizes, soothes skin",all skin types
CI 19140 (Yellow 5),Colorant,Adds color to product,all skin types
CI 42090 (Blue 1),Colorant,Adds color to product,all skin types
Glycolic Acid,AHA,"Exfoliates, brightens skin","dry,sensitive skin"
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Brightens, soothes, reduces hyperpigmentation",all skin types
Ginkgo Biloba Leaf Extract,Botanical Extract,"Antioxidant, improves circulation",all skin types
Lycium Barbarum (Goji) Fruit Extract,Botanical Extract,"Antioxidant, nourishes skin",all skin types
Salix Nigra (Willow) Bark Extract,Botanical Extract,"Exfoliates, soothes, contains salicylic acid","oily,acne-prone,sensitive"
Aqua (Water),Solvent,"Solvent, hydrates skin",all skin types
Willow Bark Extract,Botanical Extract,"Exfoliates, soothes, contains salicylic acid","oily,acne-prone,sensitive"
Dicaprylyl Ether,Emollient,"Softens skin, enhances spreadability","dry,sensitive skin"
Alcohol Denat,Solvent,"Dissolves ingredients, provides quick-dry","oily,acne-prone skin"
Caprylic/Capric Triglyceride,Emollient,"Moisturizes, softens skin","dry,sensitive skin"
Zea Mays Starch/Corn Starch,Absorbent,"Absorbs moisture, provides smooth texture","oily,sensitive skin"
Polyglyceryl-3 Methylglucose Distearate,Emulsifier,"Binds water and oil together, improves texture",all skin types
Stearyl Alcohol,"Emollient, Fatty Alcohol","Softens skin, stabilizes formulas","dry,sensitive skin"
Glyceryl Stearate SE,Emulsifier,"Helps blend ingredients, stabilizes product",all skin types
Carbomer*,Thickener,Creates gel-like consistency,all skin types
Salicylic Acid*,BHA (Beta Hydroxy Acid),"Exfoliates, treats acne","oily,acne-prone skin"
Caprylyl Glycol*,"Humectant, Preservative","Moisturizes, enhances preservation",all skin types
Tocopherol,Antioxidant,"Protects skin, nourishes, reduces aging signs",all skin types
Parfum/Fragrance*,Fragrance,Adds scent to product,all skin types (use caution for sensitive)
Sodium Hydroxide*,pH Adjuster,Balances the pH of the product,all skin types
Xanthan Gum,Thickener,"Stabilizes, thickens product",all skin types
Sodium Phytate,Chelating Agent,"Binds metal ions, prevents degradation",all skin types
Glycine Soja Oil/Soybean Oil,"Emollient, Oil","Moisturizes, nourishes skin","dry,sensitive skin"
Linalool*,Fragrance,"Adds floral scent, can be irritating",all skin types (use caution for sensitive)
Maltodextrin,Carbohydrate,"Stabilizes, adds moisture",all skin types
Benzyl Salicylate*,Fragrance,"Adds scent, potential irritant",all skin types (use caution for sensitive)
Camellia Sinensis Leaf Extract,Botanical Extract,"Antioxidant, soothes and protects skin","all skin types,sensitive"
Limonene*,Fragrance,"Adds citrus scent, potential irritant",all skin types (use caution for sensitive)
Dextrin,Carbohydrate,"Stabilizes, adds moisture",all skin types
Benzyl Alcohol*,Preservative,"Antimicrobial, prevents bacterial growth",all skin types
Geraniol*,Fragrance,"Adds floral scent, potential irritant",all skin types (use caution for sensitive)
Sodium Lauroyl Methyl Isethionate,Surfactant,"Cleanses skin, foams","oily,acne-prone skin"
Sodium Methyl Oleoyl Taurate,Surfactant,"Cleanses, emulsifies, foams","oily,sensitive skin"
Lauryl Glucoside,Surfactant,"Gentle cleanser, foaming agent","sensitive,dry"
Coco-Glucoside,Surfactant,"Mild cleanser, foams, emulsifies","sensitive,dry"
Methyl Gluceth-20,Humectant,"Moisturizes, smooths skin",all skin types
3-O-Ethyl Ascorbic Acid,"Antioxidant, Vitamin C","Brightens, repairs skin, protects from aging",all skin types
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Antioxidant, brightens skin",all skin types
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"Antioxidant, brightens skin, anti-aging",all skin types
Bentonite,Clay,"Absorbs excess oil, detoxifies, exfoliates","oily,acne-prone skin"
Cetearyl Alcohol,Fatty Alcohol,"Emollient, thickener, stabilizes formulations","dry,sensitive skin"
FDA Approved Colours,Colorant,Adds color to the product,all skin types
Glyceryl Stearate,Emulsifier,Helps blend water and oil-based ingredients,all skin types
Kaolin,Clay,"Absorbs oil, detoxifies, smooths skin","oily,acne-prone skin"
"1,3 Butylene Glycol",Humectant,"Moisturizes, enhances skin hydration",all skin types
Aloe Barbadensis (Aloe) Leaf Juice,Botanical Extract,"Soothes, hydrates, and calms irritated skin","sensitive,dry"
Ammonium Acryloyldimethyltaurate/VP Copolymer,"Emulsifier, Stabilizer",Binds oil and water-based ingredients,all skin types
Argania Spinosa (Argan) Kernel Oil,Oil,"Moisturizes, nourishes, and improves skin elasticity","dry,mature skin"
Benzophenone-3,UV Filter,Protects skin from UV radiation,all skin types
Betaine,Humectant,"Moisturizes, reduces irritation","sensitive,dry"
Butyl Methoxydibenzoylmethane,UV Filter,Protects skin from UV radiation,all skin types
Calendula Officinalis Flower Extract,Botanical Extract,"Soothes, calms inflammation","sensitive,dry"
Ethylhexyl Methoxycinnamate,UV Filter,Provides broad-spectrum UV protection,all skin types
Glycerin,Humectant,"Moisturizes, attracts moisture to skin",all skin types
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Soothes skin, reduces pigmentation, anti-inflammatory","sensitive,uneven skin tone"
Lycium Barbarum (Goji) Fruit Extract,Botanical Extract,"Antioxidant, protects against aging",all skin types
Niacinamide,Vitamin,"Reduces hyperpigmentation, improves skin texture",all skin types
Phospholipids,Emollient,"Hydrates, improves skin barrier","dry,sensitive skin"
Sodium Gluconate,Chelating Agent,"Stabilizes product, enhances efficacy",all skin types
Aloe Barbadensis Leaf Juice,Botanical Extract,"Soothes, hydrates, and calms irritated skin","sensitive,dry"
Isodecyl Neopentanoate,Emollient,"Provides smooth texture, moisturizes","dry,sensitive skin"
3-O-Ethyl Ascorbic Acid,"Antioxidant, Vitamin C","Brightens skin, improves skin texture",all skin types
Prunus Amygdalus Dulcis (Sweet Almond) Oil,Oil,"Moisturizes, nourishes skin, improves elasticity","dry,sensitive skin"
Squalane,Emollient,"Hydrates, softens, and restores skin barrier",all skin types
Sodium Citrate,pH Adjuster,Balances pH of the formulation,all skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Emulsifier, Stabilizer","Provides smooth texture, stabilizes formula",all skin types
Cyclodextrin,Encapsulating Agent,"Improves stability, protects active ingredients",all skin types
PEG-100 Stearate,Emulsifier,"Stabilizes formulation, enhances texture",all skin types
Sucrose,Humectant,Moisturizes and softens the skin,all skin types
Benzyl Alcohol,Preservative,"Antimicrobial, prevents bacterial growth",all skin types
Hydroxyacetophenone,Antioxidant,Protects skin from oxidative stress,all skin types
Caprylyl Glycol,"Emollient, Preservative",Moisturizes and protects skin,all skin types
Sodium Hyaluronate,Humectant,"Deeply hydrates, plumps skin",all skin types
Citric Acid,pH Adjuster,Adjusts pH to maintain stability,all skin types
Dilauryl Thiodipropionate,"Antioxidant, Stabilizer","Protects from oxidation, improves formula stability",all skin types
Sodium Benzotriazolyl Butylphenol Sulfonate,UV Filter,Provides broad-spectrum UV protection,all skin types
Buteth-3,Surfactant,Enhances texture and foaming ability,all skin types
Tributyl Citrate,Plasticizer,"Enhances texture, softens the product",all skin types
Dimethicone,Silicones,"Smooths, protects, and hydrates skin",all skin types
Cetyl Ethylhexanoate,Ester,"Emollient, softens and smoothens skin","dry,sensitive skin"
Silica,Absorbent,Controls oil and mattifies skin,oily
Butylene Glycol,Humectant,"Moisturizes, enhances skin hydration",all skin types
Dipropylene Glycol,Solvent,"Solubilizes active ingredients, moisturizes",all skin types
Trisiloxane,Silicones,Enhances texture and spreadability of product,all skin types
Caprylyl Methicone,Silicones,"Provides smooth texture, hydrates skin",all skin types
Lactobacillus Ferment,Probiotic,"Improves skin barrier, calms inflammation","sensitive,dry"
PEG-9 Polydimethylsiloxyethyl Dimethicone,Silicone,"Smooths texture, provides hydration",all skin types
Rosmarinus Officinalis (Rosemary) Leaf Extract,Botanical Extract,"Antioxidant, soothing, anti-inflammatory","sensitive,oily"
Arctium Lappa Root Extract,Botanical Extract,"Antioxidant, purifies and soothes skin","oily,acne-prone skin"
Simmondsia Chinensis (Jojoba) Seed Extract,Oil,"Moisturizes, restores skin's elasticity",all skin types
Phellodendron Amurense Bark Extract,Botanical Extract,Soothes and calms inflammation,"sensitive,irritated skin"
Algae Extract,Botanical Extract,"Hydrates, nourishes and detoxifies skin",all skin types
Epilobium Angustifolium Flower/Leaf/Stem Extract,Botanical Extract,Reduces irritation and calms skin,"sensitive,dry"
Wine Extract,Botanical Extract,"Antioxidant, anti-aging, improves skin tone",all skin types
Dipotassium Glycyrrhizate,Botanical Extract,"Soothes, anti-inflammatory","sensitive,irritated skin"
Caprylyl Glycol,"Emollient, Preservative","Moisturizes, protects skin",all skin types
Dimethicone/PEG-10/15 Crosspolymer,Silicone,"Improves texture, provides smooth finish",all skin types
PEG-12 Dimethicone/PPG-20 Crosspolymer,Silicone,"Enhances spreadability, smooths texture",all skin types
Dimethicone,Silicone,"Smooths, protects, and hydrates skin",all skin types
Laminaria Saccharina Extract,Botanical Extract,"Hydrates, nourishes, detoxifies skin",all skin types
Tocopherol,Antioxidant,Protects skin from oxidative stress,all skin types
Sodium Citrate,Buffering Agent,Balances pH levels,all skin types
Niacinamide,Vitamin,"Brightens, reduces fine lines, improves skin texture",all skin types
Propylene Glycol,Humectant,"Moisturizes, enhances penetration of other ingredients",all skin types
Caffeine,Stimulant,"Reduces puffiness, stimulates circulation","oily,tired skin"
Aloe Barbadensis (Aloe Vera) Extract,Botanical Extract,"Soothes, calms, and moisturizes skin","sensitive,dry"
Phenoxyethanol,Preservative,"Preserves product, prevents microbial growth",all skin types
Ethylhexylglycerin,"Emollient, Preservative","Moisturizes, reduces irritation","sensitive,dry"
Isodecyl Neopentanoate,Emollient,"Softens, smooths skin",dry
C15-19 Alkane,Hydrocarbon,"Solvent, enhances texture",all skin types
Methylpropanediol,Humectant,"Moisturizes, enhances skin penetration",all skin types
Methyl Methacrylate Crosspolymer,Film Former,"Forms a smooth, flexible layer on skin",all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Emulsifier, Stabilizer","Stabilizes the formula, enhances texture",all skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Emulsifier, Stabilizer","Stabilizes emulsions, improves texture",all skin types
Acacia Senegal Gum,Plant Extract,"Thickener, improves texture",all skin types
Xanthan Gum,Thickener,Provides viscosity and texture,all skin types
Panthenol,Pro-vitamin B5,"Soothes, moisturizes, promotes skin healing",all skin types
Sodium Gluconate,Chelating Agent,"Binds metal ions, enhances product stability",all skin types
Sodium Hydroxide,pH Adjuster,Balances pH levels,all skin types
Fragrance,Fragrance,Adds scent to product,all skin types
CI 19140,Colorant,Provides yellow color,all skin types
CI 42090,Colorant,Provides blue color,all skin types
Betaine,"Humectant, Amino Acid","Moisturizes, soothes skin",all skin types
PEG-12 Dimethicone,Silicone,"Emollient, smoothens skin, improves texture",all skin types
Octenidine Hcl,Antiseptic,Provides antimicrobial protection,all skin types
Carbomer,Thickener,"Stabilizes formula, improves texture",all skin types
Disodium EDTA,Chelating Agent,"Binds metal ions, enhances product stability",all skin types
Aminomethyl Propanol,pH Adjuster,Balances pH levels,all skin types
Allergen-Free Fragrance,Fragrance,Adds scent to product,all skin types
Aloe Barbadensis Leaf Juice,Botanical Extract,"Soothes, moisturizes, and heals skin","sensitive,dry"
Ammonium Acryloyldimethyltaurate/VP Copolymer,Polymer,Stabilizes and thickens the formula,all skin types
Argania Spinosa (Argan) Oil,Plant Oil,"Nourishes, moisturizes, and improves skin elasticity","dry,sensitive skin"
Glycolic Acid,Alpha Hydroxy Acid (AHA),"Exfoliates, improves skin texture","all skin types,mature"
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Brightens, soothes, reduces pigmentation","all skin types,uneven skin tone"
Ginkgo Biloba Leaf Extract,Botanical Extract,"Antioxidant, improves circulation and skin health",all skin types
Lycium Barbarum (Goji) Fruit Extract,Botanical Extract,"Antioxidant, helps rejuvenate skin",all skin types
Salix Nigra (Willow) Bark Extract,Botanical Extract,"Natural exfoliant, helps reduce acne","oily,acne-prone skin"
Ethyl Ascorbic Acid (Eq. To 15% Vitamin C),"Antioxidant, Vitamin","Brightens, promotes collagen production, fights signs of aging","all skin types,uneven skin tone"
Propanediol,Humectant,Moisturizes and improves product texture,all skin types
Isodecyl Neopentanoate,Emollient,Improves skin texture and softens,"dry,sensitive skin"
Ethoxydiglycol,Solvent,Improves the solubility of ingredients,all skin types
Sodium Citrate,pH Adjuster,Balances the pH of the product,all skin types
Citric Acid,Alpha Hydroxy Acid (AHA),"Exfoliates, helps improve skin texture","all skin types,oily"
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Brightens, antioxidant, and soothes skin","all skin types,uneven skin tone"
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"Antioxidant, brightens skin, combats signs of aging","all skin types,dull skin"
Rosa Damascena (Rose) Extract,Botanical Extract,"Soothes, hydrates, and balances skin","sensitive,dry"
Benzyl Alcohol,Preservative,"Preserves product, prevents microbial growth",all skin types
Caprylyl Glycol,"Emollient, Preservative",Moisturizes and prevents microbial growth,all skin types
Trilaureth-4 Phosphate,Surfactant,Enhances the stability of the formula,all skin types
Sodium Polyacryloyldimethyl Taurate,Polymer,Stabilizes the formula and improves texture,all skin types
Xanthan Gum,"Thickener, Stabilizer",Adds thickness and texture to the product,all skin types
Sodium Gluconate,Chelating Agent,"Stabilizes the formula, enhances efficacy",all skin types
Ascorbic Acid (Vitamin C),"Antioxidant, Vitamin","Brightens skin, fights free radicals, collagen synthesis","all skin types,uneven skin tone"
Propylene Glycol,Humectant,Moisturizes and improves product texture,all skin types
PEG-12 Dimethicone,Emollient,Enhances texture and moisturizes,all skin types
Glycerin,Humectant,"Draws moisture into the skin, hydrates",all skin types
Propanediol,Humectant,"Moisturizes, improves product texture",all skin types
